2025-01-23 22:43:00 status unpacked lockfile-progs:amd64 0.1.19
2025-01-23 22:43:00 status half-configured lockfile-progs:amd64 0.1.19
2025-01-23 22:43:00 status installed lockfile-progs:amd64 0.1.19
2025-01-23 22:43:00 configure python3-redis:all 4.3.4-3 <none>
2025-01-23 22:43:00 status unpacked python3-redis:all 4.3.4-3
2025-01-23 22:43:00 status half-configured python3-redis:all 4.3.4-3
2025-01-23 22:43:01 status installed python3-redis:all 4.3.4-3
2025-01-23 22:43:01 configure python3-pycares:amd64 4.3.0-2 <none>
2025-01-23 22:43:01 status unpacked python3-pycares:amd64 4.3.0-2
2025-01-23 22:43:01 status half-configured python3-pycares:amd64 4.3.0-2
2025-01-23 22:43:01 status installed python3-pycares:amd64 4.3.0-2
2025-01-23 22:43:01 configure sendmail-base:all 8.17.1.9-2+deb12u2 <none>
2025-01-23 22:43:01 status unpacked sendmail-base:all 8.17.1.9-2+deb12u2
2025-01-23 22:43:01 status half-configured sendmail-base:all 8.17.1.9-2+deb12u2
2025-01-23 22:43:01 status installed sendmail-base:all 8.17.1.9-2+deb12u2
2025-01-23 22:43:01 configure python3-aiodns:all 3.0.0-2 <none>
2025-01-23 22:43:01 status unpacked python3-aiodns:all 3.0.0-2
2025-01-23 22:43:01 status half-configured python3-aiodns:all 3.0.0-2
2025-01-23 22:43:01 status installed python3-aiodns:all 3.0.0-2
2025-01-23 22:43:01 configure sendmail-bin:amd64 8.17.1.9-2+deb12u2 <none>
2025-01-23 22:43:01 status unpacked sendmail-bin:amd64 8.17.1.9-2+deb12u2
2025-01-23 22:43:01 status half-configured sendmail-bin:amd64 8.17.1.9-2+deb12u2
2025-01-23 22:44:03 status installed sendmail-bin:amd64 8.17.1.9-2+deb12u2
2025-01-23 22:44:03 configure postfix-mta-sts-resolver:all 1.1.2-1.1 <none>
2025-01-23 22:44:03 status unpacked postfix-mta-sts-resolver:all 1.1.2-1.1
2025-01-23 22:44:03 status half-configured postfix-mta-sts-resolver:all 1.1.2-1.1
2025-01-23 22:44:03 status installed postfix-mta-sts-resolver:all 1.1.2-1.1
2025-01-23 22:44:03 configure sensible-mda:amd64 8.17.1.9-2+deb12u2 <none>
2025-01-23 22:44:03 status unpacked sensible-mda:amd64 8.17.1.9-2+deb12u2
2025-01-23 22:44:03 status half-configured sensible-mda:amd64 8.17.1.9-2+deb12u2
2025-01-23 22:44:03 status installed sensible-mda:amd64 8.17.1.9-2+deb12u2
